index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
1585,"Wang Wu is a person who loves outdoor sports, he goes to play ball or climb mountains every weekend, pursuing excitement and challenge. Li Min is completely opposite, she is a homebody, likes to read books or play video games at home on weekends, enjoying peace and ease. Wang Wu wants to pursue Li Min. This weekend, Wang Wu wants to invite Li Min to go out together, and proposes to let Li Min decide the place to go.","Facing Wang Wu's invitation, where does Li Min most likely choose to go?",Shopping center,Exhibition,Library,Play games at home,C,Discrepant desires
1586,"The little boy Mark always wants to eat a hamburger at lunchtime. When he walks to the school cafeteria to buy a hamburger, his good friend Lenny comes to him and says, ""Mark, if you help me answer a few questions on my math homework, I give you a hamburger."" So Mark decides to help Lenny with his math homework.",What does Mark do after he helps Lenny finish his math homework?,Mark continues to go to the cafeteria to buy a hamburger,Mark eats the hamburger from Lenny,Mark goes to the library to read,Mark goes to the playground to play,B,Multiple desires
1587,"Rizo is a small, curious robot, living on the distant planet Lumina, which is famous for its vast deserts. There are no large mammals on Lumina, so Rizo knows nothing about these creatures. However, a variety of insects, reptiles, and birds live on this planet. Rizo is engaging in imitation behavior: it paces back and forth, occasionally raises its head and makes a mechanical call, somewhat similar to a lion's roar.",What is Rizo possibly imitating?,Giant turtle,Lion,Lizard,Camel,C,Knowledge-pretend play links
1588,"The project deadline approaches, and the team works overtime to ensure completion on time. Chen Jie is the project leader, he notices that Su Qing seems to lack focus recently, and Old Li needs to leave early for personal reasons. During the overtime in the evening, Chen Jie intentionally leaves a progress report on the desks of Su Qing and Old Li, with a few noticeable red marks on it. Then, Chen Jie pretends to go to the copy room, passes by Su Qing and Old Li, and nods slightly. Su Qing and Old Li exchange a glance, then Su Qing picks up the progress report and starts to read.",What do you think Su Qing thinks after seeing the progress report?,"She is very angry, thinking this is a malicious attack on her work attitude.",She thinks she should change her work attitude.,She thinks this is a way for Chen Jie to encourage.,She is very satisfied with the progress report and prepares to discuss with Chen Jie.,B,Ambiguous Story Task
1589,"Xiaoling promises her mother to help her clean up the room. Then, she receives a call from a friend and gets invited to a party. Xiaoling happily leaves the house, completely forgetting her mother's request. When she comes home at night, her mother asks: ""Do you clean up the room?"" Xiaoling recalls that she seems to clean up and says: ""Of course, I tidy up very neatly.""",Why does Xiaoling say this?,Xiaoling deliberately lies because she fears her mother gets angry.,Xiaoling forgets that she only cleans a part,Xiaoling deliberately lies because she prefers to attend her friend's party.,Xiaoling thinks she cleans up because she usually takes such tasks seriously.,B,Strange Story Task
1590,"The school bully runs past Li Anna. Suddenly, he slips and falls. Li Anna thinks he gets what he deserves, but she does not want the bully to know her real feelings, to avoid him starting a conflict.",Why does Li Anna feel happy?,Because she runs past the bully and wins the race,Because she thinks the bully gets what he deserves,Because she likes to start conflicts,Because she falls herself,B,Hidden emotions
1591,"Huang Jie participates in a virtual reality game experience for the first time. When he puts on the VR headset and enters a whole new virtual world, he is amazed by the surrounding environment and interactivity, and his eyes look around.",What is Huang Jie's reaction when he experiences the virtual reality game?,Bored,Fear,Excited,Surprise,D,Unexpected Outcome Test
1592,"Xiao Bei finds a suitcase in the parking lot, the label on the suitcase is corn, Xiao Bei cannot see what is inside the suitcase, Xiao Bei opens the suitcase and finds a pencil, there is no corn inside the suitcase, Xiao Bei closes the suitcase and puts it back in its place, Xiao Ming enters the parking lot and sees the suitcase.","After Xiao Ming opens the suitcase, what does Xiao Ming think Xiao Bei expects to find inside the suitcase?",Corn,Sponge,Pencil,Durian,A,False Belief Task
1593,"Xiao Ling promised to help her mom buy groceries. Her mom told her to make sure to buy carrots. When she left, she ran into her good friend, and they went to buy groceries together. Xiao Ling bought a lot of groceries and, in the joy of chatting, forgot to buy carrots. Her mom asks, ""Have you brought back all the groceries?"" Xiao Ling looks at the many groceries and thinks for a moment and says, ""I've brought them back.""",Is what Xiao Ling says true?,A. Yes,B. No,,,B,Strange Story Task
1594,"Last Friday, all classmates in the fifth grade of elementary school participate in a Chinese composition competition. Xiao Ming really wants to win first place in this competition. The competition results come out, Xiao Hong wins the competition, and Xiao Ming happens to take a leave of absence and does not go to school that day. When going to school on Monday, Xiao Hong is the first to see Xiao Ming and says: ""Xiao Ming, I read your composition and it is not bad, just a bit regrettable."" Xiao Ming is very surprised when he hears this and says: ""What do you mean, can you be more clear?"" Xiao Hong looks at Xiao Ming and says: ""Oh, it is nothing, let's go to class.""",Does anyone say something inappropriate in this story?,Someone in the story says something inappropriate,No one in the story says something inappropriate.,,,A,Faux-pas Recognition Test
1595,"Mr. Lin runs an antique shop, famous for its rare antiques. One day, a customer named Ms. Li enters the shop, showing great interest in a valuable jade artifact. Mr. Lin knows that this jade artifact is actually a modern product he buys on an overseas trip a few years ago, but he tells Ms. Li that it is a precious relic from the Ming Dynasty, with a history of hundreds of years. Ms. Li listens and is very happy, she does not hesitate to pay a high price for the jade artifact. Afterwards, Mr. Lin mentions to other customers that this jade artifact is indeed the star product in his shop, not only because of its historical value, but also because it attracts the attention of many collectors.",Does Mr. Lin tell the truth?,Yes,No,,,B,Strange Story Task
1596,"Xiaofang and Xiao Jie discuss the wedding date. Xiaofang says, ""We can choose June 15th or July 20th."" Xiao Jie thinks for a moment and says, ""How about June 15th?"" Xiaofang says, ""I hope it is July 20th, the weather should be very good that day."" Xiao Jie does not speak, Xiao Jie's mother quietly says on the side, ""That day is... a special day.""","If there is one, which sentence is inappropriate?",How about June 15th?,"I hope it is July 22nd, the weather should be very good that day.",That day is... a special day.,There is no inappropriate sentence,B,Faux-pas Recognition Test
1597,"Zhang Hao's good friend Yang Li shows him a short story she writes in her writing table, hoping to get his opinion. Yang Li's novel lacks appeal, and the story plot is also quite bland. When she asks Zhang Hao for his opinion, Zhang Hao praises her novel for its creativity and encourages her to keep trying.",Why does Zhang Hao say this?,Zhang Hao says this because he truly thinks Yang Li's novel is very creative and greatly appreciates her writing talent.,"Zhang Hao says this because he maintains a friendly relationship with Yang Li out of politeness, avoiding direct criticism that hurts feelings.","Zhang Hao is participating in the same competition, he says this to avoid forming a competitive relationship with Yang Li in the competition.","Zhang Hao does not have much insight into literary creation, he says this just to casually deal with Yang Li's question.",B,Strange Story Task
